Plot,treeID,Species,DBH_cm,Bark_cm,Sap_cm,Saparea_cm2,Site
1,A08,Acer saccharum,20.8,0.3,6.5,279.758825802171,SBL
1,A09,Abies balsamea,7.4,0.3,2,30.159289474462,SBL
1,A10,Acer rubrum,24.6,0.3,7,373.849525777185,SBL
1,A11,Betula papyrifera,25.4,0.6,10.8,454.651288827515,SBL
1,A12,Betula papyrifera,15,0.3,2.5,93.4623814442964,SBL
1,A13,Betula papyrifera,30.3,0.3,14.4,692.155693438903,SBL
1,A14,Betula papyrifera,17.4,0.2,5.6,200.559275005172,SBL
1,A15,Abies balsamea,6.3,0.1,2.5,28.2743338823081,SBL
1,A16,Acer saccharum,9,0.1,3.1,55.5119421889317,SBL
1,A17,Abies balsamea,9.1,0.2,3.3,55.9831810869701,SBL
1,A18,Acer saccharum,10.3,0.2,4.3,75.6495510984422,SBL
1,A19,Abies balsamea,5.8,0.2,2.2,22.1168122812721,SBL
1,A20,Abies balsamea,22.2,0.1,7.5,341.64820107789,SBL
1,A21,Acer saccharum,16.1,0.3,4.3,151.299102196884,SBL
1,A22,Acer rubrum,29,0.2,5,370.707933123596,SBL
1,A23,Acer rubrum,25.7,0.2,4.9,314.033601652836,SBL
1,A24,Abies balsamea,12.7,0.3,5.5,114.039813325309,SBL
1,A25,Acer rubrum,20.9,0.3,3.3,176.243347866387,SBL
1,A26,Abies balsamea,5.5,0.2,2.4,20.3575203952619,SBL
1,A27,Acer saccharum,6.7,0.3,2.4,27.8973427638774,SBL
1,A28,Betula papyrifera,36.4,0.3,10.1,815.463205092303,SBL
1,A29,Betula papyrifera,38.7,1.4,12.1,904.715852380789,SBL
1,A30,Abies balsamea,15.7,0.3,6.5,175.615029335669,SBL
1,A31,Acer rubrum,20.3,0.3,4.4,211.492017439665,SBL
1,A32,Acer rubrum,23,0.8,4,218.65484868985,SBL
1,A33,Abies balsamea,14.3,0.4,5,133.517687777566,SBL
1,A34,Betula alleghaniensis,34.3,0.3,9.6,726.838876334534,SBL
1,A35,Acer rubrum,10.5,0.2,1.2,33.552209540339,SBL
1,A36,Acer rubrum,5.6,0.4,1.8,16.9646003293849,SBL
1,A37,Abies balsamea,11.2,0.4,4.7,84.1632671896705,SBL
1,A38,Acer saccharum,19.5,1,3.9,166.630074346403,SBL
1,A39,Acer rubrum,21.5,0.4,1.5,90.477868423386,SBL
1,A40,Acer saccharum,24.5,0.4,5.3,306.368115578077,SBL
1,A41,Acer saccharum,13.4,0.6,4,103.044239037745,SBL
1,A42,Acer rubrum,6.5,0.3,1.8,23.1849537834927,SBL
1,A43,Fagus grandifolia,8.2,0.2,2.5,41.6261026600648,SBL
1,A44,Acer saccharum,9.6,0.2,1.5,36.2853951489621,SBL
1,A45,Abies balsamea,8.8,0.2,2.5,46.3384916404494,SBL
1,A46,Abies balsamea,7.7,0.2,2.7,39.0185807575852,SBL
1,A47,Acer saccharum,14.7,0.3,4.1,128.805298797182,SBL
1,A48,Acer rubrum,14.8,0.3,2.1,79.8278693277167,SBL
1,A49,Abies balsamea,5.7,0.2,1,13.5088484104361,SBL
1,A50,Betula papyrifera,39.7,0.6,11.2,960.573369761615,SBL
1,A51,Betula papyrifera,37.5,1,14.8,962.458325353769,SBL
1,A52,Betula papyrifera,44.5,1.2,15.4,1291.76006730305,SBL
1,A53,Acer saccharum,17.6,0.6,5,179.070781254618,SBL
2,A01,Acer rubrum,10,0.1,2.5,57.3340659280137,SBL
2,A04,Acer saccharum,6,0.1,2,23.8761041672824,SBL
2,A05,Fagus grandifolia,5,0.1,1.5,15.5508836352695,SBL
2,A06,Acer saccharum,17.3,1.4,4.5,141.371669411541,SBL
2,A07,Abies balsamea,6.4,0.1,0.8,13.5716802635079,SBL
2,A08,Acer saccharum,7.5,0.4,3.5,35.1858377202057,SBL
2,A09,Acer saccharum,21,0.4,4,203.575203952619,SBL
2,A10,Acer saccharum,12.8,0.8,4.5,94.7190185057323,SBL
2,B03,Acer saccharum,28.2,0.8,4.7,323.364131833997,SBL
2,B04,Acer saccharum,12.6,0.3,3.6,95.0017618445553,SBL
2,B05,Acer saccharum,9.3,0.1,3.5,61.57521601036,SBL
2,B06,Acer saccharum,12,0.4,2.9,75.6181351719063,SBL
2,B07,Acer saccharum,5.9,0.1,2.2,24.1902634326414,SBL
2,B18,Acer saccharum,14.2,0.2,4,123.15043202072,SBL
2,B19,Acer saccharum,5.2,0.2,1.8,16.9646003293849,SBL
2,B20,Acer saccharum,12.8,0.3,4.5,108.856185446886,SBL
2,B21,Fagus grandifolia,8.3,0.2,2.3,40.4637133782365,SBL
2,B22,Acer saccharum,8.5,0.1,2.6,46.5584031262007,SBL
2,B23,Acer saccharum,8.1,0.6,2.9,36.4424747816416,SBL
2,B24,Acer saccharum,19.8,1,4,173.415914478157,SBL
2,B26,Acer saccharum,12,0.4,4.2,92.3628240155399,SBL
2,B27,Acer saccharum,11,0.6,2,49.0088453960008,SBL
2,B28,Acer saccharum,13.2,0.5,4.5,108.856185446886,SBL
2,B29,Acer saccharum,21,0.5,6,263.893782901543,SBL
2,B31,Acer saccharum,7.9,0.3,3.3,41.4690230273853,SBL
2,B32,Acer saccharum,9.5,0.4,3.3,55.9831810869701,SBL
2,B33,Acer saccharum,12.3,0.3,3.5,90.1637091580271,SBL
2,B34,Acer saccharum,19.4,0.8,5.5,212.528743015349,SBL
2,B35,Betula alleghaniensis,28.5,0.6,6.7,433.602618048463,SBL
2,B37,Betula alleghaniensis,19.8,0.6,5,213.628300444106,SBL
2,B38,Acer saccharum,12,0.4,3.9,89.4411428477014,SBL
2,B40,Acer saccharum,18,0.4,6,211.115026321234,SBL
2,B41,Acer saccharum,9.6,0.4,3.4,57.6796411199086,SBL
2,B42,Acer saccharum,5.9,0.3,2.5,21.9911485751286,SBL
2,B43,Acer saccharum,5.5,0.4,1.1,12.4407069082156,SBL
2,B45,Acer saccharum,18.5,0.3,5.2,207.47077884307,SBL
2,B48,Acer saccharum,13,0.4,3.6,97.26370855514,SBL
2,B49,Acer saccharum,5,0.2,2.2,16.5876092109541,SBL
2,B51,Acer saccharum,11,0.2,2,54.0353936417444,SBL
2,B52,Acer saccharum,6.2,0.4,3.5,20.8915911463721,SBL
3,A01,Betula alleghaniensis,5.6,0.2,1.1,14.16858286769,SBL
3,A02,Quercus rubra,5.9,0.5,0.9,11.3097335529233,SBL
3,A03,Quercus rubra,26.7,3.3,0.8,48.5061905714264,SBL
3,A04,Quercus rubra,37.6,0.6,5.4,525.902610210931,SBL
3,A05,Quercus rubra,32,0.5,10,659.734457253857,SBL
3,A06,Quercus rubra,5.5,0.7,0.3,3.58141562509237,SBL
3,A07,Quercus rubra,29.9,0.6,5.6,406.396425668376,SBL
3,A08,Quercus rubra,32.7,0.6,9.2,644.529148810482,SBL
3,A09,Fagus grandifolia,6,0.2,1.4,18.472564803108,SBL
3,A10,Quercus rubra,35,0.5,2.5,247.400421470196,SBL
