Plot,treeID,Species,DBH_cm,Bark_cm,Sap_cm,Saparea_cm2,Site
1,A17,Pinus banksiana,21,0.6,1.7,101.787601976309,AUN
1,A18,Picea mariana,11.5,0.15,1,34.9030943813826,AUN
1,A19,Pinus banksiana,20.6,0.2,0.6,60.318578948924,AUN
1,A21,Picea mariana,14.2,0.2,1.4,61.3238885980727,AUN
1,A22,Picea mariana,10,0.2,0.9,27.0176968208722,AUN
1,A23,Picea mariana,13.9,0.2,1.3,49.8256594859341,AUN
1,A24,Picea mariana,16.5,0.1,1.1,61.261056745001,AUN
1,A25,Picea mariana,13.1,0.2,0.6,26.3893782901543,AUN
1,A26,Pinus banksiana,21.8,0.3,1.4,98.5203456165759,AUN
1,A27,Picea mariana,11.5,0.2,0.8,28.8398205599543,AUN
1,A28,Picea mariana,7.2,0.1,0.5,13.854423602331,AUN
1,A29,Pinus banksiana,21.5,0.2,1.8,114.605300002956,AUN
1,A30,Picea mariana,15.6,0.3,1.2,55.9517651604342,AUN
1,A31,Picea mariana,13.5,0.1,1,45.6159253301238,AUN
1,A32,Picea mariana,11.5,0.2,0.9,31.7300858012569,AUN
1,A33,Picea mariana,6.6,0.15,0.6,13.0768794205675,AUN
1,A34,Pinus banksiana,20.6,0.4,2.4,131.19290921391,AUN
1,A35,Picea mariana,7.9,0.1,0.5,13.3831847042925,AUN
1,A36,Picea mariana,15.8,0.2,1.4,73.1676929021063,AUN
1,A37,Picea mariana,5.6,0.2,0.3,4.61814120077699,AUN
1,A38,Picea mariana,17.5,0.3,1.3,72.5707902979242,AUN
1,A39,Picea mariana,16.7,0.3,0.8,47.4380490692058,AUN
1,A40,Picea mariana,13,0.1,0.7,30.159289474462,AUN
1,A41,Picea mariana,13.2,0.1,1.5,60.3499948754599,AUN
1,A42,Picea mariana,12.5,0.2,1.7,60.8840656265702,AUN
1,A43,Picea mariana,15.4,0.1,1,48.7261020571777,AUN
1,A44,Picea mariana,14.5,0.1,1.6,70.6858347057703,AUN
1,A45,Picea mariana,11,0.3,0.9,29.5309709437441,AUN
1,A46,Pinus banksiana,16.5,0.2,2.7,116.992910419684,AUN
1,A47,Picea mariana,16.7,0.3,1,56.1716766461855,AUN
1,A48,Picea mariana,14.3,0.3,1.3,57.4911455606932,AUN
1,A49,Picea mariana,11,0.15,0.9,31.8321875624986,AUN
1,A50,Picea mariana,15.4,0.1,0.6,36.1911473693544,AUN
1,A51,Picea mariana,12.5,0.2,1.5,58.2451277975548,AUN
1,A52,Picea mariana,8,0.15,1.3,28.4706834231575,AUN
1,A53,Picea mariana,17.8,0.1,1.7,93.7137088565836,AUN
1,A54,Picea mariana,8.5,0.1,0.6,16.7132729170977,AUN
1,A55,Picea mariana,15,0.3,0.9,42.0973415581032,AUN
1,A56,Picea mariana,19.5,0.3,1.5,96.6982218774938,AUN
1,A57,Picea mariana,20.7,0.3,1.1,76.7805244537346,AUN
1,A58,Pinus banksiana,15,0.5,1.2,48.2548631591392,AUN
1,A59,Picea mariana,12,0.4,0.8,30.5912584643306,AUN
1,A60,Picea mariana,12.2,0.2,1.7,56.5486677646163,AUN
1,A61,Pinus banksiana,18,0.4,2.1,107.662380238522,AUN
1,A62,Picea mariana,19.4,0.1,1.9,117.495565244258,AUN
1,A63,Picea mariana,14,0.3,0.75,37.1571871103333,AUN
1,A64,Picea mariana,19.3,0.15,2,118.398773132165,AUN
1,A65,Pinus banksiana,18,0.3,1.2,65.7535342396343,AUN
1,A66,Picea mariana,12.3,0.3,0.9,33.6150413934108,AUN
1,A67,Picea mariana,13.5,0.2,0.7,34.4946873364159,AUN
1,A68,Picea mariana,16.2,0.3,2.1,96.1013192733117,AUN
1,A69,Picea mariana,12,0.2,1.6,52.8730043599162,AUN
1,A70,Pinus banksiana,13.3,0.6,1.1,38.0132711084365,AUN
1,A71,Picea mariana,12,0.1,1.3,47.1474517487488,AUN
1,A72,Picea mariana,14,0.15,1.6,65.6985563681965,AUN
1,A73,Picea mariana,8.2,0.1,0.5,16.0535384598438,AUN
1,A74,Pinus banksiana,19.5,0.3,2.4,124.407069082156,AUN
1,A75,Pinus banksiana,24,0.7,2.8,179.479188299585,AUN
1,A76,Picea mariana,10.2,0.3,0.9,29.3738913110646,AUN
1,A77,Picea mariana,13.5,0.1,1.6,65.0309679293087,AUN
1,A78,Populus tremuloides,16,0.2,5.7,182.055294275528,AUN
1,A79,Picea mariana,16.8,0.2,1.9,94.3420273873015,AUN
1,A80,Picea mariana,11,0.3,0.7,24.1274315795696,AUN
1,A81,Picea mariana,12.5,0.2,1.1,44.1079608564007,AUN
1,A82,Picea mariana,15,0.7,4.5,128.648219164502,AUN
1,A83,Picea mariana,17,0.05,2.6,125.797223831369,AUN
1,A84,Picea mariana,8,0.25,1.7,30.9761035643954,AUN
1,A85,Picea mariana,17.1,0.15,2.3,115.987600770535,AUN
1,A86,Picea mariana,13.1,0.2,1.3,46.5584031262007,AUN
