Study	Method	Genus	Species	Calibration material	Wood porosity	Diameter	k	SFD	Granier
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.43794433	14.27373011	15.50372793
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.457827651	14.64094179	16.37471114
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.485850489	14.98190538	17.61709178
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.469500952	15.06710268	16.89016787
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.464730029	15.42768694	16.67913669
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.44522022	16.05057772	15.82140833
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.516783078	14.33276651	19.00780467
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.535267973	14.1294964	19.84817964
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.560560873	14.77863527	21.0089383
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.497611852	17.16520602	18.14353608
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.505020892	19.18465228	18.47665141
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.55886105	19.42725093	20.93054284
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.543913653	22.37776324	20.24355788
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.567058032	22.48920863	21.30909091
Cabibel et al. 1991	TD	Malus	Malus domestica	stem segment	Diffuse-porous	NA	0.132396	1.17848268	3.555309555
Cabibel et al. 1991	TD	Malus	Malus domestica	stem segment	Diffuse-porous	NA	0.189154	4.9817016	5.515811033
Cabibel et al. 1991	TD	Malus	Malus domestica	stem segment	Diffuse-porous	NA	0.143656	6.316272	3.931108427
Cabibel et al. 1991	TD	Malus	Malus domestica	stem segment	Diffuse-porous	NA	0.155324	7.1236188	4.327769653
Cabibel et al. 1991	TD	Malus	Malus domestica	stem segment	Diffuse-porous	NA	0.173225	7.9053696	4.94970224
Cabibel et al. 1991	TD	Malus	Malus domestica	stem segment	Diffuse-porous	NA	0.232416	5.5594908	7.107599299
Cabibel et al. 1991	TD	Malus	Malus domestica	stem segment	Diffuse-porous	NA	0.258876	7.227702	8.116437618
Cabibel et al. 1991	TD	Malus	Malus domestica	stem segment	Diffuse-porous	NA	0.389698	10.2714984	13.42875802
Cabibel et al. 1991	TD	Malus	Malus domestica	stem segment	Diffuse-porous	NA	0.3459	12.8694492	11.5957169
Cabibel et al. 1991	TD	Malus	Malus domestica	stem segment	Diffuse-porous	NA	0.472316	14.346522	17.01491814
Cabibel et al. 1991	TD	Malus	Malus domestica	stem segment	Diffuse-porous	NA	0.500323	17.9023572	18.2652991
Cabibel et al. 1991	TD	Malus	Malus domestica	stem segment	Diffuse-porous	NA	0.547171	20.68695	20.39289877
Cabibel et al. 1991	TD	Malus	Malus domestica	stem segment	Diffuse-porous	NA	0.654236	26.3450664	25.41081271
Cabibel et al. 1991	TD	Malus	Malus domestica	stem segment	Diffuse-porous	NA	0.686873	27.4961556	26.98015039
Cabibel et al. 1991	TD	Malus	Malus domestica	stem segment	Diffuse-porous	NA	0.620741	29.4933672	23.81892755
Cabibel et al. 1991	TD	Malus	Malus domestica	stem segment	Diffuse-porous	NA	0.665846	34.6270752	25.96704939
Cabibel et al. 1991	TD	Malus	Malus domestica	stem segment	Diffuse-porous	NA	0.793243	34.910046	32.21206404
Cabibel et al. 1991	TD	Malus	Malus domestica	stem segment	Diffuse-porous	NA	0.821606	35.664714	33.63569118
Cabibel et al. 1991	TD	Malus	Malus domestica	stem segment	Diffuse-porous	NA	0.902665	43.735068	37.76614976
Cabibel et al. 1991	TD	Quercus	Quercus sp.	stem segment	Ring-porous	NA	0.076978	1.4164056	1.823756175
Cabibel et al. 1991	TD	Quercus	Quercus sp.	stem segment	Ring-porous	NA	0.501786	19.0409868	18.3310687
Cabibel et al. 1991	TD	Quercus	Quercus sp.	stem segment	Ring-porous	NA	0.800054	36.085824	32.55287283
Cabibel et al. 1991	TD	Castanea	Castanea sativa	stem segment	Ring-porous	NA	0.09074	3.02665824	2.233056719
Cabibel et al. 1991	TD	Castanea	Castanea sativa	stem segment	Ring-porous	NA	0.149941	4.7692008	4.143882936
Cabibel et al. 1991	TD	Castanea	Castanea sativa	stem segment	Ring-porous	NA	0.388905	11.1456396	13.39512725
Cabibel et al. 1991	TD	Castanea	Castanea sativa	stem segment	Ring-porous	NA	0.543855	22.9039776	20.24087066
Cabibel et al. 1991	TD	Castanea	Castanea sativa	stem segment	Ring-porous	NA	0.255422	8.1964044	7.983336419
Cain 2009	TD	Macaranga	Macaranga hypoleuca	stem segment	Diffuse-porous	82	0	0	0
Cain 2009	TD	Macaranga	Macaranga hypoleuca	stem segment	Diffuse-porous	82	0.096644313	3.3202908	2.413245414
Cain 2009	TD	Macaranga	Macaranga hypoleuca	stem segment	Diffuse-porous	82	0.168993878	9.858456	4.801297637
Cain 2009	TD	Macaranga	Macaranga hypoleuca	stem segment	Diffuse-porous	82	0.183936938	2.6633664	5.329137699
Cain 2009	TD	Macaranga	Macaranga hypoleuca	stem segment	Diffuse-porous	82	0.228691557	2.334852	6.967650766
Cain 2009	TD	Macaranga	Macaranga hypoleuca	stem segment	Diffuse-porous	82	0.402541365	14.283468	13.97562392
Cain 2009	TD	Macaranga	Macaranga hypoleuca	stem segment	Diffuse-porous	82	0.487090644	12.829428	17.67246421
Cain 2009	TD	Macaranga	Macaranga hypoleuca	stem segment	Diffuse-porous	82	0.647322418	17.074548	25.08066109
Cain 2009	TD	Macaranga	Macaranga hypoleuca	stem segment	Diffuse-porous	82	0.703026086	19.591452	27.76331401
Cain 2009	TD	Macaranga	Macaranga hypoleuca	stem segment	Diffuse-porous	82	0.799869409	15.040908	32.5436274
Cain 2009	TD	Macaranga	Macaranga hypoleuca	stem segment	Diffuse-porous	82	0.900658033	22.206744	37.66281113
Cain 2009	TD	Macaranga	Macaranga hypoleuca	stem segment	Diffuse-porous	82	1.026974199	27.659016	44.26691404
