Study	Method	Genus	Species	Calibration material	Wood porosity	Diameter	k	SFD	Granier
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.725977892	94.31878466	83.87640895
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.787084361	93.77622378	87.54674911
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.822203674	93.14685315	89.66940087
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.808929549	92.95153123	88.86597639
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.803718007	92.51748252	88.55091621
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.792009682	92.51748252	87.84386486
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.779114378	92.51748252	87.06636748
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.793457302	92.25705329	87.93122723
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.778944831	91.88811189	87.05615361
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.743603694	91.88811189	84.93206432
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.706737768	91.88811189	82.72690788
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.680467378	91.88811189	81.16221637
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.659898193	91.88811189	79.94102816
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.657439574	91.88811189	79.79529341
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.651010285	91.88811189	79.41443306
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.633836682	91.88811189	78.39877938
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.620924095	91.88811189	77.63674503
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.609161923	91.82300458	76.94382132
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.589779759	91.25874126	75.80454826
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.583751434	91.17193152	75.45085844
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.56107327	90.62937063	74.12309227
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.544427165	90.62937063	73.15132056
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.522286214	90.62937063	71.8625171
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.515336978	90.62937063	71.45889785
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.507382344	90.06510731	70.99740859
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.510039667	90	71.15151112
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.520216607	89.82638052	71.7422675
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.536278546	89.37062937	72.67649763
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.539001198	89.17530745	72.83508295
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.517812381	88.74125874	71.60262305
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.499153763	88.15529298	70.52061785
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.499392389	87.56932722	70.53443618
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.510212112	87.0050639	71.16151366
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.499700535	86.85314685	70.5522809
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.491373577	86.24547866	70.07036426
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.492256898	86.05015674	70.12145641
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.479507127	85.59440559	69.38467603
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.466132716	85.20376176	68.613374
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.449332356	84.96503497	67.64679969
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.43549076	84.96503497	66.85239278
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.418616978	84.96503497	65.88635252
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.428259443	84.53098626	66.43806991
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.432337682	84.33566434	66.67167578
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.437658907	84.33566434	66.97671226
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.444155925	84.33566434	67.34950414
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.437028884	83.96672293	66.94058284
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.414356906	83.70629371	65.64287746
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.389857183	83.29394743	64.24594902
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.373339685	83.07692308	63.30735124
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.361589079	83.07692308	62.64121336
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.35822163	83.07692308	62.45055795
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.357963237	83.05522064	62.43593299
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.351100948	82.44755245	62.04776497
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.34556704	82.44755245	61.73506877
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.335910927	82.44755245	61.19015697
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.330101474	82.44755245	60.86275679
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.311935222	82.16542079	59.84110665
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.294012623	81.81818182	58.83635658
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.281887778	81.81818182	58.15844963
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.273060213	81.42753798	57.66582555
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.259273767	81.18881119	56.89804895
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.250592591	80.55944056	56.41558232
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.248616119	80.55944056	56.30584545
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.24199939	79.51772366	55.93876631
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.22263434	76.67470461	54.86704413
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.20698801	76.15384615	54.00398415
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.203620444	75.5678804	53.81856395
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.196673931	74.93850977	53.43646363
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.19656114	74.8951049	53.43026367
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.208620729	74.8951049	54.09392561
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.208430236	74.8951049	54.08343052
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.197162366	74.54786593	53.46331382
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.172426544	74.15722209	52.10673822
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.161134785	73.52785146	51.48965556
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.155348072	73.00699301	51.17395386
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.15449822	72.50783699	51.12761975
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.140642358	72.37762238	50.3733102
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.131050539	71.20569086	49.85237093
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.127798347	70.57632023	49.67597294
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.132198155	70.16397396	49.9146453
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.126409246	69.70822281	49.60066424
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.128556217	68.79672052	49.71706912
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.13106219	62.93706294	49.8530031
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.134804954	62.93706294	50.05615512
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.192095977	62.93706294	53.18492816
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.320289622	62.9153605	60.31054584
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.440635597	62.13407282	67.14746331
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.491918719	61.5698095	70.10189499
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.485331087	79.7489697	69.72104831
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.464645953	71.10341159	68.52773247
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.450066303	76.29705911	67.688972
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.433491905	75.37457941	66.73781882
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.375083264	72.14165334	63.40630665
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.300139345	68.03572005	59.17946445
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.284622346	59.1720747	58.31121202
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.242009421	58.85063526	55.93932244
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.249341384	62.8076888	56.34610864
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.264483421	56.09953903	57.18795106
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.242809293	54.92820857	55.98367345
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.262456212	55.98980151	57.07510993
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.227455477	53.24156	55.1334968
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.213502687	54.32567	54.36302512
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.15628342	54.321	51.22495828
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.054047209	45.432	45.70778747
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.960587722	57.93839735	40.77111115
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.881302384	57.51871395	36.66893272
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.852927932	57.31991655	35.22107031
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.909681983	57.18738496	38.12787065
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.988261166	55.59700577	42.22178226
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.019273007	57.40827095	43.8586335
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.061395339	57.25365075	46.10035462
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.019411329	56.96649896	43.86596041
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.009982775	56.96649896	43.3670575
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.026556533	57.01067616	44.24475314
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.084481808	57.03276476	47.33780081
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.119398669	56.43637256	49.22092077
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.118694651	56.43637256	49.18281639
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.151816718	56.43637256	50.98147544
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.103983544	56.54681556	48.38786078
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.107805175	56.52472696	48.59413934
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.136500388	56.50263836	50.14823191
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.156934403	56.48054976	51.26046193
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.161132122	56.37010676	51.48951021
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.145233256	56.17130936	50.62300431
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.138053864	56.12713216	50.23262698
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.128477436	57.91630875	49.71279682
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.139493462	55.79580317	50.31085924
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.120224886	55.77371457	49.26564616
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.130019258	55.75162597	49.79642182
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.140362854	55.68536017	50.35811575
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.111336971	55.53073997	48.78491982
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.145810636	55.13314517	50.65442383
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.182449762	54.66928457	52.65564824
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.105850276	54.29377838	48.4886
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.114099339	54.05080378	48.93423503
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.103354048	53.89618358	48.35389856
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.143337961	53.69738618	50.51989311
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.176571413	53.67529758	52.3335963
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.198437448	53.76365198	53.53341937
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.202101548	53.71947478	53.73497183
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.198538031	53.67529758	53.53895025
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.194281677	53.45441158	53.30499355
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.1838424	53.36605718	52.73199976
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.17236735	53.67529758	52.10349973
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.171815924	53.29979139	52.07333321
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.157674693	52.94637379	51.30084193
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.115096124	52.48251319	48.98813558
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.019405517	52.0407412	43.86565253
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.932800767	51.8419438	39.32417239
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.918104693	51.6431464	38.56290739
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.976583894	53.18934839	41.60848733
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.029100126	51.0688428	44.3797454
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.044523056	50.73751381	45.19990873
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.984094938	50.42827341	42.00277718
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.905755539	49.96441281	37.92538528
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.854328411	49.67726101	35.29227474
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.832062794	49.36802062	34.16344239
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.824058854	48.97042582	33.75934746
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.822810737	48.72745122	33.69641519
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.822299474	48.26359062	33.67064279
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.821850935	47.91017303	33.64803531
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.822723612	36.04859492	33.69202305
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.693296702	46.45232544	27.29109219
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.812363478	45.45833845	33.17051333
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.833822882	45.12700945	34.25242478
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.824651764	44.92821205	33.7892507
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.279572984	60.81605105	58.029196
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.16304037	61.83212664	51.59369695
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.231021229	65.64731869	55.33072295
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.073598404	65.73567309	46.75367872
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.129579617	63.59307891	49.77257401
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.0820681	64.1894711	47.20813757
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.041826565	60.74364953	45.05631121
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.023068032	59.68339674	44.05973891
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.030072361	58.55687814	44.43136373
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.028741057	57.65124555	44.36068442
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.063822016	56.70143576	46.23013577
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.118399103	56.08295496	49.16682175
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.141821258	55.66327157	50.4374072
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.114358005	55.33194257	48.94822116
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.135328639	54.64719597	50.08459237
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.155236839	54.16124678	51.16788892
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.159930537	53.63112038	51.42392622
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.136039858	53.23352559	50.123218
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.120508125	52.81384219	49.28098046
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.099525914	52.50460179	48.14746152
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.13395565	52.12909559	50.01004247
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.133784313	52.10700699	50.00074075
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.112300625	51.7535894	48.83699881
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.132211115	51.444349	49.91534864
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.134869914	51.0909314	50.05968239
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.143022404	50.892134	50.50272946
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.142400727	50.51662781	50.46891869
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.126895289	50.09694441	49.62701215
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.110878337	49.74352681	48.7601374
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.099122639	49.25757762	48.12572408
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.071395722	48.72745122	46.63562473
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.062184201	48.70536262	46.14253624
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.08408677	48.52865382	47.31657498
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.091583284	48.21941342	47.71967499
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.062233904	48.02061603	46.14519417
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.034982965	47.79973003	44.69225143
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	1.02371924	47.44631243	44.094265
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.999492489	47.26960363	42.81323744
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.983536274	47.11498343	41.97342631
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.976680786	46.93827463	41.6135692
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.966036348	46.73947724	41.05597976
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.950846404	46.40814824	40.26273993
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.93507154	46.18726224	39.44204814
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.911347688	45.94428764	38.2138315
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.8864595	45.76757884	36.93325345
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.863614062	45.65713584	35.76506506
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.846339922	45.48042705	34.88647938
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.832414924	45.19327525	34.18124107
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.82176674	45.03865505	33.64379201
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.813973332	44.83985765	33.2514501
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.80575549	44.53061725	32.83867998
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.805033633	44.19928826	32.80246848
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.804875775	44.02257946	32.79455062
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.802330648	43.97840226	32.66694153
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.800011533	43.71333906	32.5507458
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.799593287	43.51454166	32.52979845
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.796516438	48.26727206	32.37577628
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.796189009	42.96232667	32.35939379
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.797890918	42.38802307	32.44456361
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.784260952	42.16713707	31.7636536
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.773509064	42.12295987	31.22844635
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.778815994	41.85789667	31.49240128
Paudel et al. 2013	TD	Malus	Malus domestica	stem segment	Diffuse-porous	4.01	0.756504164	41.83580807	30.38548692
